ca	es	so	en	kind	risk	ca_suggested	issue	flag	source
onze / onzè	once / undécimo	ON-za / on-ZÈ	11 eleventh	mot	cognat				beveradb-1000
oposar-se	oponerse	o-po-ZAR-sa	to object	mot	cognat				beveradb-1000
paga en efectiu o amb targeta?	¿paga en efectivo o con tarjeta?		cash or card?	frase					beveradb-1000
pagar	pagar	pa-GÁ	to pay for	mot	cognat				beveradb-1000
paleta	el albañil	al-pa-LE-ta	builder	mot	fals	el paleta			beveradb-1000
parar	parar / detener	pa-RÁ	to stop	mot	cognat				beveradb-1000
parar el sol	tomar el sol	pa-RÁL-sol	to sunbathe	frase					beveradb-1000
parar la taula	poner la mesa	pa-RÁ-la-TÁW-la	to set the table	frase					beveradb-1000
passar l'estona	pasar el rato	pa-SÁ-las-TU-na	to spend time	frase			misspelling and missing article		beveradb-1000
passar	pasar / ocurrir	pa-SÁ	to happen	mot	cognat				beveradb-1000
passar a + inf.	pasar a + inf.		to go and…	frase					beveradb-1000
passi-ho bé	que le vaya bien	PA-si-u-BÉ	goodbye (f)	frase					beveradb-1000
patir	sufrir / padecer	pa-TÍ	to suffer	mot	cognat				beveradb-1000
pel meu gust	para mi gusto		to my taste	frase					beveradb-1000
pel que fa a…	en cuanto a…		about…	frase					beveradb-1000
pensar	pensar		to think	mot	cognat				beveradb-1000
pensar + inf.	pensar + inf.		to intend to	frase					beveradb-1000
penso que…	pienso que…	PEN-su	I think that…	frase					beveradb-1000
pentinar-se	peinarse		to do one's hair	mot	cognat				beveradb-1000
per	por / para	pa	by, for, through, along	mot	cognat				beveradb-1000
per a	para	pa-RA	for	mot	cognat				beveradb-1000
per cert	por cierto	pa-SERT	by the way	frase	cognat				beveradb-1000
per favor	por favor	pa-fa-VÓ	please	frase	cognat				beveradb-1000
per molts anys!	¡feliz cumpleaños!	pa-molts-AÑS	happy birthday!	frase					beveradb-1000
per postres	para postre	pa-PÓS-tras	on top of that	frase					beveradb-1000
per què?	¿por qué?	pa-KÉ	why?	frase					beveradb-1000
per sort	por suerte	pa-SORT	by chance, fortunately	frase					beveradb-1000
perdona / perdoni	perdona / perdone	par-DO-na / par-DO-ni	excuse me	frase			normalised format		beveradb-1000
perdre	perder	PER-dra	to lose	mot	cognat				beveradb-1000
perfecte	perfecto	par-FEC-ta	perfect	mot	cognat				beveradb-1000
periodista	el/la periodista	pa-riu-DIS-ta	journalist	mot	cognat				beveradb-1000
perquè	porque	par-KÉ	because	mot	cognat				beveradb-1000
perruquer perruquera	el peluquero / la peluquera	al-pa-rru-KÉ / la-pa-rru-KÉ-ra	hairdresser	mot		el perruquer / la perruquera	normalised format		beveradb-1000
però	pero	pa-RÓ	but	mot	cognat				beveradb-1000
pescar	pescar	pas-CÁ	to fish	mot	cognat				beveradb-1000
petit / petita	pequeño / pequeña	pa-TIT / pa-TI-ta	small	mot			normalised format		beveradb-1000
pintor pintora	el pintor / la pintora		painter	mot	cognat	el pintor / la pintora	normalised format		beveradb-1000
planxar la roba	planchar la ropa	plan-SHÁ-la-RRO-ba	to iron clothes	frase					beveradb-1000
ple / plena	lleno / llena		full	mot			normalised format		beveradb-1000
plegar	terminar (de trabajar)	pla-GÁ	to finish (work)	mot	fals				beveradb-1000
plegar de la feina	salir del trabajo	pla-GÁ-da-la-FÉY-na	to leave work	frase					beveradb-1000
plego tard	salgo tarde		I finish late.	frase					beveradb-1000
plou	llueve		it's raining	mot					beveradb-1000
ploure	llover	PLÓU-ra	to rain	mot					beveradb-1000
pobre / pobra	pobre		poor	mot	cognat				beveradb-1000
poc sovint	pocas veces / no muy a menudo		not much	frase					beveradb-1000
poder	poder	pu-DÉ	to be able to	mot	cognat				beveradb-1000
portar	llevar (puesto)	pur-TÁ	to wear	mot	fals				beveradb-1000
posar a prova	poner a prueba	pu-ZÁ a PRO-ba	to test	frase	cognat				beveradb-1000
posar-se	ponerse (ropa)	pu-ZÁ-sa	to put on clothes	mot	cognat				beveradb-1000
posar-se al telèfon	ponerse al teléfono	pu-ZÁ-sa al ta-LÉ-fon	to come to the phone	frase	cognat				beveradb-1000
pots anar	puedes ir		you can go	frase	cognat				beveradb-1000
preciós / preciosa	precioso / preciosa		beautiful	mot	cognat				beveradb-1000
preocupat / preocupada	preocupado / preocupada		worried	mot	cognat				beveradb-1000
prim / prima	delgado / delgada		slim, thin	mot	fals				beveradb-1000
primera o segona classe?	¿primera o segunda clase?	pri-MÉ-ra o sa-GO-na CLA-sa	first or second class?	frase	cognat				beveradb-1000
professor / professora	profesor / profesora	pru-fa-SÓ / pru-fa-SO-ra	teacher lecturer	mot	cognat				beveradb-1000
prometre	prometer	pru-MÉ-tra	to promise	mot	cognat				beveradb-1000
prop	cerca		close	mot					beveradb-1000
prou!	¡basta! / suficiente		of course!	mot					beveradb-1000
provar	probar (comida)	pru-BÁ	to taste	mot	cognat				beveradb-1000
pujar per	subir por	pu-ZHÁ	to go up	frase	fals				beveradb-1000
pèl-roig / pèl-roja	pelirrojo / pelirroja	pel-RROCH / pel-RRO-zha	red-haired	mot			feminine is pèl-roja		beveradb-1000
quan	cuando		when	mot	cognat				beveradb-1000
quan plegues de treballar?	¿cuándo sales de trabajar?	PLÉ-gas da tra-ba-LLÁ	when do you finish work?	frase					beveradb-1000
quant dura?	¿cuánto dura?		how long does it take?	frase	cognat				beveradb-1000
quant? / quanta?	¿cuánto? / ¿cuánta?		how much?	mot	cognat				beveradb-1000
quants anys tens?	¿cuántos años tienes?		how old are you?	frase	cognat				beveradb-1000
quants germans té?	¿cuántos hermanos tiene?		how many siblings do you have?	frase					beveradb-1000
quants? / quantes?	¿cuántos? / ¿cuántas?		how many?	mot	cognat				beveradb-1000
quaranta / quarantè	cuarenta / cuadragésimo		40 fortieth	mot	cognat				beveradb-1000
quant val?	¿cuánto vale?		how much is it?	frase	cognat		misspelling, should be quant		beveradb-1000
quatre / quart / quarta	cuatro / cuarto / cuarta		4 fourth	mot	cognat				beveradb-1000
que	que	ca	which that	mot	cognat				beveradb-1000
que + adj	qué + adj		how + adj	frase	cognat				beveradb-1000
que no	que no		no	frase	cognat				beveradb-1000
quedar	quedar bien / sentar bien	ca-DÁ	to be suitable	mot	cognat				beveradb-1000
quedar	quedar / sobrar	ca-DÁ	to be left, to remain	mot	cognat		misspelling, should be quedar		beveradb-1000
qui	quien		who	mot	cognat				beveradb-1000
qui és ara? / a qui toca?	¿quién es el siguiente? / ¿a quién le toca?		who's next?	frase	cognat				beveradb-1000
qui?	¿quién?		who?	mot	cognat				beveradb-1000
quin horari fan?	¿qué horario hacen?		what are the opening hours?	frase					beveradb-1000
quin / quina / quins / quines	¿cuál? / ¿qué?		which?	mot	cognat		standardised format		beveradb-1000
quina adreça tens/té?	¿qué dirección tienes/tiene?		what's your address?	frase					beveradb-1000
quina senyora és aquesta?	¿qué señora es esta?		which lady is this?	frase					beveradb-1000
quins llibres tens?	¿qué libros tienes?		which books do you have?	frase			misspelling, llibresa -> llibres		beveradb-1000
quinze / quinzè	quince / decimoquinto		15 fifteenth	mot	cognat				beveradb-1000
què	qué		??? (introduces a question)	mot	cognat			placeholder-gloss	beveradb-1000
què en penses de…?	¿qué piensas de...?		what do you think of...?	frase					beveradb-1000
què estàs fent?	¿qué estás haciendo?		what are you doing?	frase					beveradb-1000
què et sembla de quedar?	¿qué te parece quedar?		what do you think about meeting?	frase					beveradb-1000
què et sembla?	¿qué te parece?		what do you think about?	frase					beveradb-1000
què fas (ara)?	¿qué haces (ahora)?		what are you doing (now)?	frase				optional-part	beveradb-1000
què li fa falta?	¿qué le hace falta?		what do you need?	frase	cognat				beveradb-1000
què voldria?	¿qué querría? / ¿qué le gustaría?	bul-DRI-a	what would you like?	frase					beveradb-1000
què voleu prendre?	¿qué quieren tomar?	bu-LÉU / PREN-dra	what do you want to drink?	frase					beveradb-1000
què vols?	¿qué quieres?		what do you want? (inf)	frase					beveradb-1000
què?	¿qué?		what?	mot	cognat				beveradb-1000
receptar / prescriure	recetar / prescribir	ra-sap-TÁ / pras-CRIU-ra	to prescribe	mot	cognat		standardised format		beveradb-1000
redistribuir	redistribuir		to rearrange	mot	cognat				beveradb-1000
reemborsable	reembolsable	ra-am-bur-SA-bla	refundable	mot	cognat				beveradb-1000
rentar la roba	lavar la ropa	ran-TÁ / RRO-ba	to wash clothes	frase					beveradb-1000
rentar-se les dents	lavarse los dientes		to brush one's teeth	frase					beveradb-1000
rentar-se les mans	lavarse las manos		to wash one's hands	frase					beveradb-1000
res	nada		anything nothing	mot	fals				beveradb-1000
res més?	¿algo más?	RRE-z-MÉS	anything else?	frase					beveradb-1000
reservar	reservar	ra-zar-BÁ	to reserve	mot	cognat				beveradb-1000
riure	reír	RRIU-ra	to laugh	mot					beveradb-1000
roig / roja	el rojo / la roja	RROCH / RRO-zha	red	mot			misspelling, roija -> roja		beveradb-1000
ros / rossa	el rubio / la rubia		fair-haired	mot	cognat				beveradb-1000
rosa	el rosa / la rosa	RRO-za	pink	mot	cognat				beveradb-1000
ràpid / ràpida	el rápido / la rápida		fast	mot	cognat				beveradb-1000
s'equivoca (vostè)	se equivoca (usted)	sa-qui-BO-ca	you are wrong	frase	cognat			optional-part	beveradb-1000
saber	saber	sa-BÉ	know, can	mot	cognat				beveradb-1000
salat / salada	el salado / la salada		salty	mot	cognat				beveradb-1000
salut! / xin-xin!	¡salud! / ¡chin-chín!	sa-LUT / shin-SHIN	cheers! (beverage)	frase	cognat		standardised format		beveradb-1000
salvatge	salvaje	sal-BAD-zha	wild	mot	cognat				beveradb-1000
sang	la sangre	SANK	blood	mot	fals	la sang	added article		beveradb-1000
saps?	¿sabes?		do you know?	frase	cognat				beveradb-1000
secretari secretària	el secretario / la secretaria		secretary	mot	cognat	el secretari / la secretària	added articles		beveradb-1000
seguir per	seguir por	sa-GUÍ / PAR	to follow	frase	cognat				beveradb-1000
segur / segura	seguro / segura		safe, secure	mot	cognat		normalize m/f pair		beveradb-1000
seixanta / seixantè	sesenta / sexagésimo	sa-SHAN-ta / sa-shan-TÈ	60 sixtieth	mot					beveradb-1000
semblar	parecer / asemejarse	sam-BLÁ	to seem	mot					beveradb-1000
sempre	siempre	SEM-pra	always	mot	cognat				beveradb-1000
sens dubte	sin duda	sens DUB-ta	definitely	frase	cognat				beveradb-1000
sense	sin	SEN-sa	without	mot					beveradb-1000
senyor, senyora	el señor / la señora		sir, ma´am	mot	cognat	el senyor / la senyora	add articles, normalize m/f pair		beveradb-1000
senzill / senzilla	sencillo / sencilla	san-ZILL / san-ZIL-lya	simple	mot	cognat		normalize m/f pair		beveradb-1000
ser	ser	SÉ	to be	mot	cognat				beveradb-1000
set / setè / setena	siete / séptimo / séptima		7 seventh	mot	cognat		normalize m/f pair		beveradb-1000
setanta / setantè	setenta / septuagésimo		70 seventieth	mot	cognat		misspelling, ordinal is setantè		beveradb-1000
setembre	septiembre	sa-TEM-bra	September	mot	cognat				beveradb-1000
setze / setzè	dieciséis / decimosexto	SED-za / sed-ZÈ	16 sixteenth	mot					beveradb-1000
seure	sentarse	SÉU-ra	to sit down	mot					beveradb-1000
simpàtic / simpàtica	simpático / simpática		nice	mot	cognat		normalize m/f pair		beveradb-1000
sis / sisè / sisena	seis / sexto / sexta	SIS / si-ZÈ / si-ZE-na	6 sixth	mot	cognat		normalize m/f pair		beveradb-1000
sobre	sobre	SU-bra	about, above	mot	cognat				beveradb-1000
sol / sola	solo / sola		alone	mot	cognat		normalize m/f pair		beveradb-1000
solter	soltero	sul-TÉ	single, unmarried	mot	cognat				beveradb-1000
sorprès / sorpresa	sorprendido / sorprendida	sur-PRÈS / sur-PRE-za	surprised	mot			normalize m/f pair		beveradb-1000
sortint	saliendo	sur-TIN	leaving	mot					beveradb-1000
sortir	salir / aparecer	sur-TÍ	to leave, to appear	mot					beveradb-1000
sortir amb amics	salir con amigos	sur-TÍ amb a-MICS	to go out with friends	frase			misspelling, am -> amb		beveradb-1000
sortir de la feina	salir del trabajo	sur-TÍ da la FÉI-na	to leave work	frase					beveradb-1000
sota	bajo / debajo de	SU-ta	below	mot					beveradb-1000
sovint	a menudo	su-BIN	often	mot					beveradb-1000
sé que	sé que		sure	frase	cognat				beveradb-1000
sí, exacte	sí, exacto	sí, ag-ZAC-ta	yes, exactly	frase	cognat				beveradb-1000
sóc	soy		I am	mot					beveradb-1000
sóc de Berlín	soy de Berlín	soc da bar-LÍN	I am from Berlin	frase	cognat				beveradb-1000
són dos quarts de vuit	son las siete y media	son dos cuarts da BUIT	half past seven	frase					beveradb-1000
també	también		also	mot	cognat				beveradb-1000
tampoc	tampoco		neither	mot	cognat				beveradb-1000
tan + adj	tan + adj		so…	frase	cognat				beveradb-1000
tancat / tancada	cerrado / cerrada		closed	mot			normalize m/f pair		beveradb-1000
tanquen	cierran	TAN-can	they close	mot					beveradb-1000
tanquen al migdia.	cierran al mediodía.	TAN-can al mi-DÍA	they close at midday.	frase					beveradb-1000
tant	tanto		so much	mot	cognat				beveradb-1000
tan… com	tan… como		as… as	frase	cognat				beveradb-1000
taronja	el naranja	ta-RON-zha	orange (color)	mot	fals				beveradb-1000
tenim obert fins a les…	tenemos abierto hasta las…		we are open until…	frase	cognat				beveradb-1000
tenir	tener	ta-NÍ	to have	mot	cognat				beveradb-1000
tenir calor	tener calor	ta-NÍ ca-LÓ	to feel hot	frase	cognat				beveradb-1000
tenir fam	tener hambre	ta-NÍ FAM	to be hungry	frase					beveradb-1000
tenir febre	tener fiebre	ta-NÍ FE-bra	to have a fever	frase	cognat				beveradb-1000
tenir fred	tener frío	ta-NÍ FRET	to feel cold	frase					beveradb-1000
tenir gana	tener hambre		to feel hungry	frase	fals				beveradb-1000
tenir ganes de	tener ganas de	ta-NÍ GA-nas da	to want to	frase	cognat				beveradb-1000
tenir mandra	tener pereza	ta-NÍ MAN-dra	to feel lazy	frase					beveradb-1000
tenir raó	tener razón	ta-NÍ ra-Ó	to be right	frase	cognat				beveradb-1000
tenir set	tener sed	ta-NÍ SET	to feel thirsty	frase					beveradb-1000
tenir son	tener sueño	ta-NÍ SON	to feel sleepy	frase	fals				beveradb-1000
tenir … anys	tener … años		be … years old	frase	cognat				beveradb-1000
tinc … anys.	tengo … años.		I'm … years old.	frase	cognat				beveradb-1000
toca a ella.	le toca a ella.		it's her turn.	frase	cognat				beveradb-1000
tocar	tocar	tu-CÁ	to touch, to play an instrument	mot	cognat				beveradb-1000
tombar	tumbar / caer	tum-BÁ	to fall	mot					beveradb-1000
tornar a + inf.	volver a + inf.	tur-NÁ a + inf.	to (verb) again	frase	cognat				beveradb-1000
tornar a casa	volver a casa	tur-NÁ a CA-za	to go home	frase	cognat				beveradb-1000
tot	todo		everything	mot	cognat				beveradb-1000
tot dret	todo recto		straight ahead	frase					beveradb-1000
tot i que	aunque		although	frase			spelling, 'i' is lowercase		beveradb-1000
tot plegat	en conjunto / en resumen	TOT pla-GAT	altogether	frase					beveradb-1000
tot / tota	todo / toda		all	mot	cognat		normalise to MASC / FEM		beveradb-1000
tothom	todo el mundo	tut-HOM	everybody everyone	mot					beveradb-1000
tots dos	ambos / los dos		both	frase	cognat				beveradb-1000
tractar-se	tratarse de	trac-TAR-sa	to be about	mot	cognat				beveradb-1000
travessar	atravesar / cruzar	tra-va-SÁ	to cross	mot	cognat				beveradb-1000
trencar	romper	tran-CÁ	to break	mot					beveradb-1000
trenta / trentè	treinta / trigésimo	TREN-ta / tran-TÈ	30 thirtieth	mot	cognat				beveradb-1000
tres / tercer / tercera	tres / tercero / tercera	TRES / tar-SÉ / tar-SE-ra	3 third	mot	cognat		normalise to MASC / FEM		beveradb-1000
tretze / tretzè	trece / decimotercero	TRED-za / tred-ZÈ	13 thirteenth	mot	cognat				beveradb-1000
treure	sacar / quitar	TRÈU-ra	to withdraw	mot					beveradb-1000
treure diner	sacar dinero	TRÈU-ra di-NÉ	to withdraw money	frase					beveradb-1000
trist / trista	triste		sad	mot	cognat		normalise to MASC / FEM		beveradb-1000
trobar	encontrar	tru-BÁ	to find	mot					beveradb-1000
trobo que…	encuentro que… / creo que…		I find that…	frase					beveradb-1000
trona	truena		it's thundering	mot	cognat				beveradb-1000
truca	llama		you call	mot					beveradb-1000
tu	tú		you (inf-s)	mot	cognat				beveradb-1000
tu ets	tú eres		you are	frase	cognat				beveradb-1000
té	tiene		he has	mot					beveradb-1000
tímid / tímida	tímido / tímida		shy	mot	cognat				beveradb-1000
u / un / una / primer / primera	uno / un / una / primero / primera		1 first	mot	cognat				beveradb-1000
un amic	un amigo		a friend (m)	frase	cognat				beveradb-1000
un cop	una vez		once	frase					beveradb-1000
un cop a la/per setmana	una vez a la/por semana		once a week	frase					beveradb-1000
un dineral	un dineral		piles of money	mot	cognat				beveradb-1000
un quart de deu	las nueve y cuarto		quarter past nine	frase					beveradb-1000
una amiga	una amiga		a friend (f)	frase	cognat				beveradb-1000
una mica	un poco		a little	frase					beveradb-1000
una mica menys	un poco menos		a little less	frase					beveradb-1000
una vegada al mes	una vez al mes		once a month	frase					beveradb-1000
Unió Europea	la Unión Europea	u-ni-Ó au-ru-PÉ-a	european union	frase	cognat		Capitalisation.		beveradb-1000
us	os		to you (inf. pl.)	mot	cognat				beveradb-1000
us fa res	os importa		do you mind…	frase					beveradb-1000
us l'ensenyo	os lo/la enseño	an-SÉ-ñu	i'll show you	frase					beveradb-1000
val	vale / cuesta		(it) costs	mot	cognat				beveradb-1000
valent / valenta	valiente		brave	mot	cognat				beveradb-1000
vella	vieja		old	mot					beveradb-1000
venen	venden	VÉ-nan	they sell	mot	cognat				beveradb-1000
venir	venir	ba-NÍ	to come	mot	cognat				beveradb-1000
venir de gust	apetecer	ba-NÍ da GUST	to appeal	frase					beveradb-1000
verd / verda	verde	BERT / BER-da	green unripe	mot	cognat				beveradb-1000
vermell / vermella	rojo / roja	bar-MÉLL / bar-MÉ-lla	red	mot					beveradb-1000
vestir-se	vestirse	bas-TÍ-sa	to get dressed	mot	cognat				beveradb-1000
veí veïna	el vecino / la vecina	ba-Í / ba-Í-na	neighbor	mot		el veí / la veïna			beveradb-1000
viatjar	viajar	bi-ad-ZHÁ	to travel	mot	cognat				beveradb-1000
vint / vintè	veinte / vigésimo	BINT / bin-TÈ	20 twentieth	mot	cognat				beveradb-1000
visc a	vivo en	BISC a	I live in	frase					beveradb-1000
viu / s'està	vive		he lives	mot			Incorrect phrasing, should be 'viu'.		beveradb-1000
viure	vivir	BIU-ra	to live	mot	cognat				beveradb-1000
viviu	vivís		you live	mot	cognat				beveradb-1000
voldria	querría / quisiera	bul-DRÍ-a	i'd like	mot					beveradb-1000
voldria reservar una habitació, si us plau.	querría reservar una habitación, por favor.		i'd like to book a room please.	frase			Corrected 'sisplau.' to 'si us plau.'		beveradb-1000
voldria un bitllet per a (lloc) per al (dia).	querría un billete para (lugar) para el (día).		I would like a ticket to (place) for (day).	frase			Corrected 'pel' to 'per al'.	optional-part	beveradb-1000
voldria una barra de quart, si us plau.	querría una barra de cuarto, por favor.		I would like a baguette please.	frase			Corrected 'sisplau.' to 'si us plau.'		beveradb-1000
voler	querer	bu-LÉ	to want to	mot					beveradb-1000
voltar	dar vueltas / rodear	bul-TÁ	to travel around	mot					beveradb-1000
vosaltres	vosotros / vosotras	bu-ZAL-tras	you (inf-pl)	mot	cognat				beveradb-1000
vostè	usted	bus-TÉ	you (f-s)	mot	cognat				beveradb-1000
vostè és	usted es	bus-TÉ ES	you are	frase					beveradb-1000
vostès	ustedes	bus-TÉS	you (f-pl)	mot	cognat				beveradb-1000
vuit / vuitè	ocho / octavo		8 eighth	mot					beveradb-1000
vuitanta	ochenta		eighty	mot					beveradb-1000
vuitanta / vuitantè	ochenta / octogésimo		80 eightieth	mot					beveradb-1000
vuitè vuitena	el octavo / la octava		eighth	mot		el vuitè / la vuitena	Normalised to MASC / FEM with articles.		beveradb-1000
vull	quiero	BUY	I want	mot					beveradb-1000
Vull un paquet de sucre, si us plau.	quiero un paquete de azúcar, por favor.		I would like a bag of sugar please.	frase			Expanded 'sisplau', added comma, capitalised.		beveradb-1000
Vull una habitació doble/individual.	quiero una habitación doble/individual.		I'd like a double/single room.	frase			Capitalised start of sentence.		beveradb-1000
xerrar	charlar	sha-RRÁ	to chat	mot	cognat				beveradb-1000
zero	cero	ZE-ru	0 zero	mot	cognat				beveradb-1000
és	es		it is	mot	cognat				beveradb-1000
és a	está en		it is (in/at)	frase					beveradb-1000
és clar!	¡claro!		of course!	frase	cognat				beveradb-1000
és que	es que		the fact is that	frase	cognat				beveradb-1000
